DateTime,players
2023-01-01,969910.0
2023-01-02,997255.0
2023-01-03,998290.0
2023-01-04,1018520.0
2023-01-05,1000680.0
2023-01-06,1066254.0
2023-01-07,1088544.0
2023-01-08,1133708.0
2023-01-09,1049338.0
2023-01-10,1089371.0
2023-01-11,1050932.0
2023-01-12,994121.0
2023-01-13,1026134.0
2023-01-14,1084042.0
2023-01-15,1125630.0
2023-01-16,949073.0
2023-01-17,996052.0
2023-01-18,974806.0
2023-01-19,988367.0
2023-01-20,997149.0
2023-01-21,1005266.0
2023-01-22,1090554.0
2023-01-23,970396.0
2023-01-24,998693.0
2023-01-25,1002360.0
2023-01-26,1033959.0
2023-01-27,1072984.0
2023-01-28,1150643.0
2023-01-29,1200077.0
2023-01-30,1074059.0
2023-01-31,1091825.0
2023-02-01,1070455.0
2023-02-02,1115945.0
2023-02-03,1123605.0
2023-02-04,1218863.0
2023-02-05,1250740.0
2023-02-06,1101798.0
2023-02-07,1090329.0
2023-02-08,1103009.0
2023-02-09,1101682.0
2023-02-10,1275074.0
2023-02-11,1320219.0
2023-02-12,1299983.0
2023-02-13,1170750.0
2023-02-14,1120722.0
2023-02-15,1162649.0
2023-02-16,1167926.0
2023-02-17,1237913.0
2023-02-18,1316929.0
2023-02-19,1324800.0
2023-02-20,1200370.0
2023-02-21,1222001.0
2023-02-22,1237108.0
2023-02-23,1255789.0
2023-02-24,1295397.0
2023-02-25,1349390.0
2023-02-26,1355797.0
2023-02-27,1189343.0
2023-02-28,1218697.0
2023-03-01,1211398.0
2023-03-02,1219977.0
2023-03-03,1279192.0
2023-03-04,1365274.0
2023-03-05,1378447.0
2023-03-06,1216801.0
2023-03-07,1246598.0
2023-03-08,1251723.0
2023-03-09,1272100.0
2023-03-10,1342214.0
2023-03-11,1420183.0
2023-03-12,1410348.0
2023-03-13,1255606.0
2023-03-14,1256684.0
2023-03-15,1254108.0
2023-03-16,1277046.0
2023-03-17,1326562.0
2023-03-18,1379598.0
2023-03-19,1363586.0
2023-03-20,1250196.0
2023-03-21,1255930.0
2023-03-22,1288691.0
2023-03-23,1404115.0
2023-03-24,1415826.0
2023-03-25,1507212.0
2023-03-26,1519457.0
2023-03-27,1362176.0
2023-03-28,1402070.0
2023-03-29,1347642.0
2023-03-30,1375866.0
2023-03-31,1427632.0
2023-04-01,1476961.0
2023-04-02,1511946.0
2023-04-03,1397017.0
2023-04-04,1449552.0
2023-04-05,1381271.0
2023-04-06,1419084.0
2023-04-07,1459519.0
2023-04-08,1448795.0
2023-04-09,1393830.0
2023-04-10,1411321.0
2023-04-11,1369609.0
2023-04-12,1365336.0
2023-04-13,1369354.0
2023-04-14,1491992.0
2023-04-15,1514410.0
2023-04-16,1487327.0
2023-04-17,1379517.0
2023-04-18,1392057.0
2023-04-19,1409711.0
2023-04-20,1400005.0
2023-04-21,1457137.0
2023-04-22,1447888.0
2023-04-23,1492061.0
2023-04-24,1397249.0
2023-04-25,1458950.0
2023-04-26,1375872.0
2023-04-27,1365255.0
2023-04-28,1351441.0
2023-04-29,1337968.0
2023-04-30,1438597.0
2023-05-01,1456155.0
2023-05-02,1364238.0
2023-05-03,1463272.0
2023-05-04,1486111.0
2023-05-05,1557335.0
2023-05-06,1818773.0
2023-05-07,1804106.0
2023-05-08,1756413.0
2023-05-09,1739486.0
2023-05-10,1739961.0
2023-05-11,1736895.0
2023-05-12,1785902.0
2023-05-13,1759286.0
2023-05-14,1755997.0
2023-05-15,1653050.0
2023-05-16,1718018.0
2023-05-17,1729209.0
2023-05-18,1647193.0
2023-05-19,1710424.0
2023-05-20,1670185.0
2023-05-21,1721980.0
2023-05-22,1686119.0
2023-05-23,1725850.0
2023-05-24,1681693.0
2023-05-25,1451829.0
2023-05-26,1477893.0
2023-05-27,1473425.0
2023-05-28,1450426.0
2023-05-29,1462950.0
2023-05-30,1419313.0
2023-05-31,1401031.0
2023-06-01,1343329.0
2023-06-02,1467207.0
2023-06-03,1463722.0
2023-06-04,1610423.0
2023-06-05,1494648.0
2023-06-06,1541716.0
2023-06-07,1564875.0
2023-06-08,1661663.0
2023-06-09,1673717.0
2023-06-10,1616238.0
2023-06-11,1565127.0
2023-06-12,1541543.0
2023-06-13,1457653.0
2023-06-14,1452362.0
2023-06-15,1488731.0
2023-06-16,1527247.0
2023-06-17,1550615.0
2023-06-18,1529825.0
2023-06-19,1449803.0
2023-06-20,1442260.0
2023-06-21,1516475.0
2023-06-22,1470109.0
2023-06-23,1434072.0
2023-06-24,1448228.0
2023-06-25,1445136.0
2023-06-26,1401751.0
2023-06-27,1453177.0
2023-06-28,1175525.0
2023-06-29,1160720.0
2023-06-30,1218748.0
2023-07-01,1229115.0
2023-07-02,1226527.0
2023-07-03,1183652.0
2023-07-04,1170509.0
2023-07-05,1182637.0
2023-07-06,1166169.0
2023-07-07,1180836.0
2023-07-08,1190186.0
2023-07-09,1160572.0
2023-07-10,1116339.0
2023-07-11,1145971.0
2023-07-12,1109865.0
2023-07-13,1079556.0
2023-07-14,1083053.0
2023-07-15,1154497.0
2023-07-16,1179205.0
2023-07-17,1143639.0
2023-07-18,1143205.0
2023-07-19,1147030.0
2023-07-20,1092158.0
2023-07-21,1180188.0
2023-07-22,1180493.0
2023-07-23,1200792.0
2023-07-24,1152959.0
2023-07-25,1164352.0
2023-07-26,1155810.0
2023-07-27,1142685.0
2023-07-28,1175999.0
2023-07-29,1175966.0
2023-07-30,1198103.0
2023-07-31,1143291.0
2023-08-01,1152051.0
2023-08-02,1161160.0
2023-08-03,1194185.0
2023-08-04,1164780.0
2023-08-05,1174119.0
2023-08-06,1217170.0
2023-08-07,1203266.0
2023-08-08,1212073.0
2023-08-09,1175387.0
2023-08-10,1183550.0
2023-08-11,1168883.0
2023-08-12,1219495.0
2023-08-13,1258559.0
2023-08-14,1210922.0
2023-08-15,1199404.0
2023-08-16,1203324.0
2023-08-17,1275682.0
2023-08-18,1196966.0
2023-08-19,1256687.0
2023-08-20,1253677.0
2023-08-21,1210335.0
2023-08-22,1210960.0
2023-08-23,1235378.0
2023-08-24,1292907.0
2023-08-25,1293495.0
2023-08-26,1297365.0
