,steam_players,usdtry,bist100,stress_index,steam_trends,steam_players_z,usdtry_z,bist100_z,stress_index_z,steam_trends_z,crisis_period
2023-01-31,1041580.3870967742,18.765019850297406,5249.840309836648,12.933333333333335,17.73333333333333,-1.928218061730522,-1.8539537302241833,-1.7422838909969227,0.9778368833641923,-1.3135268460355354,0
2023-02-28,1210617.25,18.843262958526612,4958.679901123047,7.083333333333333,17.666666666666668,-0.9677490690501018,-1.8430327892246379,-1.887710050480439,-0.8782464662211955,-1.3288399828416482,0
2023-03-31,1331750.2580645161,18.99488523732061,5143.307511039402,5.333333333333333,20.583333333333332,-0.279470215326446,-1.8218698012196728,-1.795493926855036,-1.433485075071525,-0.6588902475741728,0
2023-04-30,1421701.0666666667,19.330582237243654,4969.894659745066,9.799999999999999,18.733333333333334,0.2316310973993954,-1.7750142095534471,-1.882108604586265,-0.016304625815446196,-1.0838297939438286,0
2023-05-31,1622726.3870967743,19.726417458575703,4587.8613513764885,6.833333333333333,15.916666666666666,1.3738587967344353,-1.7197647032960295,-2.0729231355737974,-0.9575662674855283,-1.7308098240021341,0
2023-06-30,1472221.5,23.61104462363503,5428.323807565789,12.25,21.5,0.5186886591646346,-1.1775599643103567,-1.6531365727862741,0.7610294265750154,-0.4483346164901087,0
2023-07-31,1159850.2903225806,26.419480550856818,6491.717936197917,15.266666666666666,20.466666666666665,-1.2562073957449946,-0.7855668066210477,-1.1220021207241224,1.718155028497964,-0.685688236984872,0
2023-08-31,1228947.4193548388,26.900117293648098,7600.04150390625,7.416666666666667,19.833333333333332,-0.8635968800333028,-0.7184809554958499,-0.5684267200403188,-0.772486731202085,-0.8311630366429523,0
2023-09-30,1373749.1,26.96247772943406,8105.561686197917,10.166666666666666,21.416666666666668,-0.04083241340147502,-0.709776870812386,-0.3159340855613028,0.10003108270557537,-0.4674760374977506,0
2023-10-31,1195976.0,27.86090304634788,8025.375599254261,12.133333333333333,24.13333333333333,-1.0509407847360053,-0.5843773295547534,-0.35598470480499833,0.7240135193183266,0.15653428735138294,0
2023-11-30,1080382.2666666666,28.636346730318937,7846.381170099432,7.25,26.166666666666668,-1.7077454290483975,-0.4761431998942832,-0.4453872184088857,-0.8253665987116402,0.6235849599378531,0
2023-12-31,1147145.0967741935,29.039457684471493,7732.983911132813,15.666666666666666,17.2,-1.328398421061262,-0.4198781684275597,-0.5020258525567529,1.8450667105208967,-1.4360319404844448,0
2024-01-31,1059757.4193548388,30.010223471600078,7983.96220259233,7.25,18.75,-1.8249359990906242,-0.28438155887887046,-0.37666949245975195,-0.8253665987116402,-1.0800015097423004,0
2024-02-29,1124912.3103448276,30.777131035214378,9089.2041015625,8.666666666666666,19.75,-1.4547253157961526,-0.17733887558206068,0.17536670428017945,-0.3758877248804213,-0.8503044576505943,0
2024-03-31,1443857.4516129033,32.04178891863142,8969.662016369048,13.066666666666665,21.0,0.3575238782121503,-0.0008216788348569368,0.11565890807552673,1.0201407773718352,-0.5631831425359617,0
2024-04-30,1521076.7333333334,32.352371562610976,9587.026692708334,13.0,21.916666666666668,0.7962845393821806,0.042528525510904094,0.4240146157676367,0.9989888303680138,-0.3526275114518976,0
2024-05-31,1492439.9677419355,32.25092547872792,10448.794477982954,8.25,19.833333333333332,0.6335701767940521,0.028368981983104533,0.8544425710408332,-0.5080873936543091,-0.8311630366429523,0
2024-06-30,1438005.2,32.568640327453615,10443.697782628677,14.133333333333333,23.86666666666667,0.32427133131191826,0.07271467831521465,0.8518969198834359,1.3585719294329888,0.09528174012692985,0
2024-07-31,1265712.4516129033,32.89065701028575,10879.001242897728,7.166666666666667,22.416666666666668,-0.6546976323054128,0.11766081189387008,1.0693183430656064,-0.8518065324664177,-0.23777898540604456,0
2024-08-31,1304340.3870967743,33.675689003684305,9947.437686011905,11.75,22.25,-0.43521335150236523,0.227233249347997,0.604029428988117,0.6023898240463499,-0.2760618274213292,0
2024-09-30,1374264.3666666667,34.051018669491725,9801.933686755952,11.4,21.933333333333334,-0.03790466351428974,0.27962065097900635,0.5313544114787838,0.49134210227628405,-0.3487992272503694,0
2024-10-31,1361174.0,34.24485098797342,8933.475363991478,6.583333333333333,21.5,-0.11228424599239535,0.30667519114045605,0.09758472723794091,-1.0368860687498611,-0.4483346164901087,0
2024-11-30,1416721.4333333333,34.42302504039946,9265.688988095239,11.416666666666666,24.166666666666668,0.20333677550155801,0.3315441969638768,0.263515774302217,0.49663008902723926,0.164190855754441,0
2024-12-31,1545765.1935483871,34.959894527088515,9924.66150483631,16.400000000000002,26.133333333333336,0.9365645949056837,0.40647884771179904,0.5926533886442332,2.0777381275629403,0.6159283915347966,0
2025-01-31,1393682.677419355,35.52690974148837,9980.16073330966,6.666666666666667,28.75,0.07243035482349967,0.4856211497298311,0.6203736397828991,-1.0104461349950833,1.21696901117476,0
2025-02-28,1555822.8214285714,36.18211193084717,9766.048291015624,7.833333333333333,31.333333333333332,0.9937121280113203,0.5770723281748301,0.5134306995733119,-0.6402870624281972,1.810353062411667,0
2025-03-31,1710864.0,37.09142412458147,10114.451220703126,10.666666666666666,31.266666666666666,1.8746575150050317,0.7039914274116462,0.6874478341181984,0.2586706852342409,1.7950399256055534,0
2025-04-30,1708317.2,38.13704624176025,9361.495166015626,8.0,28.0,1.860186574237757,0.8499362615058876,0.31136817487863344,-0.5874071949186419,1.0446962221059806,1
2025-05-31,1614167.3548387096,38.813367496837266,9359.36025390625,9.416666666666666,25.416666666666668,1.3252262975858384,0.944335176510616,0.3103018483465578,-0.13792832108742298,0.45131217086907355,1
