date,usdtry_z,bist100_z,stress_index_z,steam_players_z,usdtry_lag1,usdtry_lag2,usdtry_roll3,time_index,crisis_period,usdtry_x_crisis,target
2023-03-31,-1.8218698012196728,-1.795493926855036,-1.433485075071525,-0.279470215326446,-1.843032789224638,-1.8539537302241833,-1.8396187735561647,2,0,-0.0,-0.6588902475741728
2023-04-30,-1.7750142095534471,-1.882108604586265,-0.0163046258154461,0.2316310973993954,-1.8218698012196728,-1.843032789224638,-1.8133055999992527,3,0,-0.0,-1.0838297939438286
2023-05-31,-1.7197647032960297,-2.072923135573798,-0.9575662674855284,1.3738587967344351,-1.7750142095534471,-1.8218698012196728,-1.7722162380230497,4,0,-0.0,-1.730809824002134
2023-06-30,-1.1775599643103567,-1.653136572786274,0.7610294265750154,0.5186886591646346,-1.7197647032960297,-1.7750142095534471,-1.5574462923866113,5,0,-0.0,-0.4483346164901087
2023-07-31,-0.7855668066210477,-1.1220021207241224,1.718155028497964,-1.2562073957449946,-1.1775599643103567,-1.7197647032960297,-1.2276304914091447,6,0,-0.0,-0.685688236984872
2023-08-31,-0.7184809554958499,-0.5684267200403188,-0.772486731202085,-0.8635968800333028,-0.7855668066210477,-1.1775599643103567,-0.8938692421424181,7,0,-0.0,-0.8311630366429523
2023-09-30,-0.709776870812386,-0.3159340855613028,0.1000310827055753,-0.040832413401475,-0.7184809554958499,-0.7855668066210477,-0.7379415443097613,8,0,-0.0,-0.4674760374977506
2023-10-31,-0.5843773295547534,-0.3559847048049983,0.7240135193183266,-1.0509407847360053,-0.709776870812386,-0.7184809554958499,-0.6708783852876632,9,0,-0.0,0.1565342873513829
2023-11-30,-0.4761431998942832,-0.4453872184088857,-0.8253665987116402,-1.7077454290483975,-0.5843773295547534,-0.709776870812386,-0.5900991334204742,10,0,-0.0,0.6235849599378531
2023-12-31,-0.4198781684275597,-0.5020258525567529,1.8450667105208969,-1.328398421061262,-0.4761431998942832,-0.5843773295547534,-0.49346623262553213,11,0,-0.0,-1.4360319404844448
